long,lat,c,phi,alpha,safety_factor
109.4854,-7.4902,22,12,23,3.9
109.4483,-7.4666,11,14,15,4.33
109.0733,-7.3675,22,15,43,4.82
109.7683,-7.3683,32,15,22,4.99
109.7458,-7.3899,15,17,14,5.34
109.2334,-7.4264,34,17,18,5.65
109.4461,-7.3148,17,18,28,5.69
109.1508,-7.4098,29,18,42,5.89
109.5372,-7.4449,18,19,19,6.03
109.6478,-7.3734,19,19,17,6.04
109.4332,-7.4241,20,20,19,6.39
109.8645,-7.422,31,20,18,6.57
109.8194,-7.2501,34,20,32,6.62
109.3912,-7.4361,21,21,29,6.74
109.9067,-7.3681,22,21,28,6.75
109.1111,-7.5302,23,22,39,7.1
109.3742,-7.3918,36,22,26,7.32
109.2074,-7.3901,24,23,32,7.46
109.9269,-7.2308,25,23,15,7.48
109.9448,-7.2931,22,25,32,8.12
109.8983,-7.4178,26,25,20,8.19
109.9594,-7.3893,24,26,31,8.51
109.7016,-7.3923,19,34,34,11.54
109.0789,-7.4088,20,37,22,12.87
109.4138,-7.4242,13,40,25,14.18
109.9169,-7.3008,36,43,21,16.11
