long,lat,c,phi,alpha,safety_factor
109.4854,-7.4902,22,12,23,11.01
109.4483,-7.4666,11,14,15,12.22
109.0733,-7.3675,22,15,43,13.62
109.7683,-7.3683,32,15,22,14.08
109.7458,-7.3899,15,17,14,15.06
109.2334,-7.4264,34,17,18,15.95
109.4461,-7.3148,17,18,28,16.06
109.1508,-7.4098,29,18,42,16.62
109.5372,-7.4449,18,19,19,17.01
109.6478,-7.3734,19,19,17,17.06
109.4332,-7.4241,20,20,19,18.03
109.8645,-7.422,31,20,18,18.55
109.8194,-7.2501,34,20,32,18.69
109.3912,-7.4361,21,21,29,19.01
109.9067,-7.3681,22,21,28,19.06
109.1111,-7.5302,23,22,39,20.05
109.3742,-7.3918,36,22,26,20.66
109.2074,-7.3901,24,23,32,21.06
109.9269,-7.2308,25,23,15,21.11
109.9448,-7.2931,22,25,32,22.93
109.8983,-7.4178,26,25,20,23.12
109.9594,-7.3893,24,26,31,24.03
109.7016,-7.3923,19,34,34,32.57
109.0789,-7.4088,20,37,22,36.32
109.4138,-7.4242,13,40,25,40.01
109.9169,-7.3008,36,43,21,45.48
