long,lat,c,phi,alpha,safety_factor
109.4854,-7.4902,22,12,23,7.38
109.4483,-7.4666,11,14,15,8.19
109.0733,-7.3675,22,15,43,9.13
109.7683,-7.3683,32,15,22,9.44
109.7458,-7.3899,15,17,14,10.09
109.2334,-7.4264,34,17,18,10.69
109.4461,-7.3148,17,18,28,10.76
109.1508,-7.4098,29,18,42,11.14
109.5372,-7.4449,18,19,19,11.4
109.6478,-7.3734,19,19,17,11.43
109.4332,-7.4241,20,20,19,12.08
109.8645,-7.422,31,20,18,12.43
109.8194,-7.2501,34,20,32,12.52
109.3912,-7.4361,21,21,29,12.74
109.9067,-7.3681,22,21,28,12.77
109.1111,-7.5302,23,22,39,13.44
109.3742,-7.3918,36,22,26,13.85
109.2074,-7.3901,24,23,32,14.11
109.9269,-7.2308,25,23,15,14.15
109.9448,-7.2931,22,25,32,15.37
109.8983,-7.4178,26,25,20,15.49
109.9594,-7.3893,24,26,31,16.1
109.7016,-7.3923,19,34,34,21.83
109.0789,-7.4088,20,37,22,24.34
109.4138,-7.4242,13,40,25,26.82
109.9169,-7.3008,36,43,21,30.48
